NO,Nama jamu,Khasiat,jumlah_kata
91,masker v,"['bantu', 'wanita', 'atas', 'frigid', 'gairah', 'layan', 'pasang']",7
92,LAMSAM,"['turun', 'normal', 'tekan', 'darah', 'hipertensi', 'lancar', 'edar', 'darah', 'tubuh']",9
93,lulur wangi,"['bersih', 'atas', 'jerawat', 'angkat', 'komedo']",5
94,PETODHU,"['sehat', 'tulang', 'pria', 'wanita']",4
95,GALIAN PUTRI,"['jaga', 'tubuh', 'segar', 'sehat', 'lincah', 'pucat', 'atas', 'bau', 'ketiak', 'bau', 'badan', 'sedap', 'bantu', 'atas', 'sakit', 'putih', 'jaga', 'organ', 'wanita', 'pakai', 'bersih', 'noda', 'lancar', 'haid']",24
96,GALIAN RAPET,"['bantu', 'rapat', 'organ', 'wanita', 'biar', 'kencang', 'jaga', 'harmonis', 'rumah', 'tangga', 'hilang', 'bau', 'sedap', 'bantu', 'atas', 'putih']",16
97,lulur ayu,"['pelihara', 'cantik', 'wajah', 'anggota', 'badan', 'bersih', 'halus', 'kulit']",8
98,PAS JUDHU,"['bantu', 'atas', 'asam', 'urat', 'kolesterol', 'rematik']",6
99,SEHAT L.M,"['lancar', 'edar', 'darah', 'tambah', 'tenaga', 'tingkat', 'daya', 'tahan', 'tubuh', 'sakit', 'bantu', 'atas', 'gejala', 'tua', 'nyeri', 'otot', 'nyeri', 'sendi', 'pegal', 'pegal', 'rabun', 'mata', 'cegah', 'masuk', 'angin', 'pusing', 'maag']",27
100,GALIAN RAPET,"['bantu', 'rapat', 'organ', 'wanita', 'jaga', 'harmonis', 'rumah', 'tangga', 'hilang', 'bau', 'sedap', 'bantu', 'atas', 'putih']",14
101,cream montok,"['bantu', 'besar', 'payudara']",3
102,GALIAN MONTOK,"['bantu', 'obat', 'buah', 'dada', 'montok', 'buah', 'dada', 'padat', 'isi']",9
103,BERSIH JERAWAT,"['bantu', 'atas', 'bersih', 'jerawat', 'cegah', 'timbul', 'jerawat', 'pelihara', 'wajah', 'halus']",10
104,AWET AYU,"['kandung', 'formula', 'anti', 'aging', 'guna', 'hambat', 'proses', 'tua', 'kurang', 'keriput', 'pudar', 'lingkar', 'hitam', 'mata', 'kurang', 'kantung', 'mata', 'bantu', 'atas', 'sakit', 'putih', 'hilang', 'bau', 'badan', 'rapat', 'vagina', 'jaga', 'organ', 'wanita', 'bersih', 'kurang', 'hilang', 'sakit', 'jelang', 'haid']",35
105,PANYAMAN,"['atas', 'gairah', 'encang', 'otot', 'otot', 'rahim', 'vagina', 'keset', 'sensitif', 'bantu', 'wanita', 'cepat', 'capai', 'orgasme', 'getar', 'getar', 'sentuh']",17
106,JAMU PERKASA,"['cegah', 'ejakulasi', 'tambah', 'daya', 'tahan', 'pria', 'tambah', 'tenaga', 'gairah', 'perkasa', 'pria', 'tambah', 'sehat', 'bugar']",14
107,peluntur &pelangsing,"['kurang', 'lemak', 'tubuh', 'perut', 'gendut', 'encang', 'otot', 'otot', 'kendur', 'pelihara', 'tubuh', 'langsing', 'padat', 'ideal', 'alami']",15
108,BEDAK SARI,"['harum', 'tubuh']",2
109,HABBATUS SAUDA,"['jaga', 'stamina', 'kuat', 'daya', 'konsentrasi', 'anti', 'bakteri', 'atas', 'infeksi', 'hangat', 'lega', 'salur', 'nafas', 'ringan', 'gejala', 'batuk', 'pilek', 'turun', 'demam', 'bantu', 'cepat', 'sembuh', 'sakit', 'bantu', 'atas', 'maag', 'keluar', 'masuk', 'angin', 'kembung']",30
110,SELEDRI MIX,"['atas', 'asam', 'urat']",3
111,KUNYIT ASEM,"['tingkat', 'daya', 'tahan', 'tubuh', 'jaga', 'stamina', 'hilang', 'bau', 'badan', 'lancar', 'halus', 'kulit', 'cegah', 'tua', 'cegah', 'diare']",16
112,TEMU LAWAK,"['atas', 'maag', 'atas', 'radang', 'sendi', 'hilang', 'bau', 'badan', 'atas', 'diare', 'atas', 'kolesterol', 'lancar', 'cerna', 'cegah', 'tua', 'anti', 'kanker', 'sehat', 'liver', 'ginjal']",21
113,BERAS KENCUR,"['atas', 'batuk', 'pilek', 'reda', 'hidung', 'sumbat', 'tambah', 'nafsu', 'makan', 'atas', 'sakit', 'maag', 'tingkat', 'imun', 'tubuh']",15
114,SIRIH PINANG,"['jaga', 'sehat', 'gigi', 'cegah', 'sariawan', 'hilang', 'bau', 'mulut', 'hilang', 'bau', 'badan', 'atas', 'putih', 'lancar', 'cerna', 'cegah', 'gusi', 'darah']",18
115,POKA',"['atas', 'masuk', 'angin', 'mual', 'pusing', 'reda', 'nyeri', 'sendi', 'tingkat', 'imun', 'tubuh', 'cegah', 'tua', 'anti', 'kanker', 'cegah', 'kolesterol']",17
116,BUNGA TELANG,"['sehat', 'mata', 'sehat', 'otak', 'halus', 'kulit', 'lancar', 'cerna', 'cegah', 'tua']",10
117,jahe merah instant,"['obat', 'masuk', 'angin', 'pusingdan', 'mual']",5
118,Empot wangi,"['bantu', 'kurang', 'lendir', 'daerah', 'wanita']",5
119,Galian singset ++,"['kurang', 'lebih', 'lemak', 'kolesterol', 'tubuh', 'kecil', 'perut', 'jaga', 'bentuk', 'tubuh', 'ideal', 'jaga', 'tampil', 'awet', 'muda', 'bantu', 'kurang', 'lemak', 'tubuh', 'langsing', 'badan', 'tampil', 'seksi', 'percaya', 'normal', 'bab', 'lancar']",27
120,asi booster,"['lancar', 'asi', 'segar', 'badan', 'muka', 'pucat', 'sehat', 'bayi', 'lahir', 'tuntas', 'sisa', 'darah', 'tingkat', 'kualitas', 'nutrisi', 'asi']",16
121,gadis remaja,"['hilang', 'bau', 'badan', 'sedap', 'cegah', 'timbul', 'jerawat', 'sembuh', 'putih', 'jaga', 'bentuk', 'tubuh', 'ideal']",13
122,empot-empot,"['tambah', 'mesra', 'harmonis', 'keluarga', 'muda', 'gadis', 'remaja', 'suami', 'sayang', 'istri', 'nikmat', 'puas', 'jelma']",13
123,sehat lelaki,"['tambah', 'semangat', 'stamina', 'hubung', 'sehat', 'kuat', 'hangat', 'badan', 'pegal', 'linu', 'otot', 'kaku', 'lesu']",13
124,rapet harum asmara,"['rapat', 'lentur', 'miss', 'v', 'atas', 'bau', 'sedap', 'gatal', 'gatal', 'sekitar', 'organ', 'intim', 'atas', 'cair', 'lebih', 'harum', 'area', 'vagina', 'jaga', 'harmonis', 'hubung', 'suami', 'istri', 'sembuh', 'putih', 'gejala']",26
125,feminia,"['jaga', 'miss', 'v', 'keset', 'elastis', 'tambah', 'libido', 'hilang', 'bau', 'badan', 'miss', 'v', 'sedap', 'sembuh', 'putih', 'jaga', 'payudara', 'kenyal', 'montok', 'lindung', 'rahim', 'virus', 'normal', 'hormon', 'estrogen', 'hangat', 'badan', 'kurang', 'pegal', 'pegal', 'linu']",31
